genero,archivo,ax_mean,ax_std,ax_min,ax_max,ax_rms,ax_energy,ay_mean,ay_std,ay_min,ay_max,ay_rms,ay_energy,az_mean,az_std,az_min,az_max,az_rms,az_energy,magnitud_mean,magnitud_std,magnitud_min,magnitud_max,magnitud_rms,magnitud_energy
salsa,salsa_segmento_019.csv,-6.109799999999999,8.741648412764858,-22.2996,6.9097,10.665180402243292,113.74607301239439,0.7477380281690141,2.5868622621240864,-4.7333,5.7365,2.692762247576238,7.250968521971831,-10.650522535211266,7.976773979642965,-23.614,2.6647,13.30648538853713,177.06255339535213,14.570719708148193,9.260330561934605,2.052356333583425,32.49852397525156,17.264402536135396,298.0595949297183
salsa,salsa_segmento_020.csv,-6.276246478873238,8.093623276396924,-20.1855,8.2744,10.241972837486086,104.89800760380281,1.8485253521126763,2.923480664450102,-5.2768,6.4979,3.4588705053553106,11.963785172816902,-12.152664788732396,7.62359711125107,-23.772,1.7621,14.345957422980586,205.8064943819718,15.811381230823926,8.524582730676057,2.052356333583425,30.463035536695948,17.96296988692548,322.6682871585916
salsa,salsa_segmento_021.csv,-5.121297183098592,8.784805765141291,-19.7593,11.2647,10.168603501409288,103.40049716887324,0.7832070422535212,4.132184249444699,-9.3541,7.7907,4.2057531956112655,17.68835994239437,-10.624926760563383,7.463054162630357,-23.772,1.7621,12.984076636468615,168.58624610169014,15.153870483087587,7.748245775320015,3.2486044711537287,30.16632641903883,17.019844394498964,289.67510321295777
salsa,salsa_segmento_022.csv,-7.156898611111111,9.512176612542081,-21.7034,11.2647,11.903894389564982,141.70270163791668,0.8941305555555554,4.406742220691144,-9.3541,9.0381,4.4965371620837296,20.21884645,-10.451820833333333,6.056421070785064,-19.5463,0.5459,12.079767999376063,145.92079491874998,16.037639413924854,7.115930370344461,3.2486044711537287,28.232524494632074,17.545436529384688,307.8423430066666
salsa,salsa_segmento_023.csv,-6.16422676056338,8.85970994951672,-21.7034,6.517,10.793153012220815,116.49215194521126,1.9794971830985915,3.4174813668767543,-5.2936,9.0381,3.9493781777445762,15.597587990845069,-10.536883098591549,5.836840451578159,-19.5463,3.2226,12.045522483087373,145.09461189056339,14.911091764035538,7.405652856509773,1.5487379894610966,28.232524494632074,16.648854369794325,277.1843518266196
salsa,salsa_segmento_024.csv,-6.332835211267606,8.18657617615051,-21.6077,6.2824,10.350112622623287,107.12483130098592,1.481138028169014,2.8589669796144364,-3.9624,7.5178,3.2198543521429794,10.367462049014087,-9.806650704225351,6.157395856166936,-20.3651,3.2226,11.579461203537294,134.08392176422535,13.873759147898237,7.687328679088419,1.5487379894610966,29.05052719349513,15.861154280638763,251.57621511422533
salsa,salsa_segmento_025.csv,-7.16992676056338,7.883219120205348,-21.6077,6.2824,10.656124691885607,113.55299344901411,1.869433802816901,2.85286772262596,-3.9624,7.5178,3.4108117781424845,11.633636985915496,-11.17957323943662,6.408720967335932,-24.1336,1.652,12.886215978831745,166.0545622530986,15.149510587128676,7.857068261031225,2.060674426007175,32.37190633759464,17.065790127856026,291.24119268802815
salsa,salsa_segmento_026.csv,-4.3405183098591555,8.04285673705328,-20.9684,6.0142,9.139345911551107,83.52764369098593,2.236997183098592,2.89366275632044,-4.4652,6.9121,3.657518358738209,13.37744054450704,-10.16554366197183,7.042093868128304,-24.1336,1.7765,12.366461255791242,152.9293639909859,13.561168542727602,8.119677086080102,1.4803248494840584,32.37190633759464,15.806152227106976,249.83444822647883
salsa,salsa_segmento_027.csv,-5.119642253521127,8.469529455470822,-21.6987,6.0142,9.896649230983524,97.94366600112677,1.6278211267605633,2.977374461393205,-4.4652,7.0844,3.393311112185929,11.514560304084506,-9.16901408450704,6.944629744585314,-22.539,1.7765,11.502117264715553,132.2987015712676,13.093046686827963,8.38624208647843,1.4803248494840584,29.124893359118072,15.548534589358539,241.7569278764789
salsa,salsa_segmento_028.csv,-7.478301408450705,8.350066934850096,-23.7577,5.1308,11.209309067561332,125.64860977211269,2.3061183098591544,3.22653649635965,-4.3694,8.5018,3.9659449594527216,15.72871942140845,-10.539715492957745,6.83273535238088,-20.6452,1.4054,12.560727489607,157.77187506816898,14.83408912282499,8.893762092487941,1.8497774298547378,31.336922635606708,17.295930280319997,299.1492042616901
merengue,merengue_segmento_001.csv,-6.276624999999999,9.550847591484427,-26.9946,17.7746,11.428679324680909,130.61471110638888,5.445379166666666,4.366218127120283,-1.8052,19.8527,6.979685881353194,48.71601500236111,-8.811695833333333,8.873646889345338,-27.6818,11.4898,12.505502491942186,156.38759257597223,17.347758069582078,5.896915180327099,8.446652965524272,38.42327619672742,18.32261768101715,335.71831868472225
merengue,merengue_segmento_002.csv,-7.097961971830985,8.410474297780373,-26.693,4.5083,11.005323351323351,121.11714206718304,4.528177464788732,3.0892371137295815,-2.3631,11.1378,5.481585272297129,30.047777097464788,-10.982102816901408,5.434171717156293,-22.9508,-2.375,12.253032462722656,150.13680453253525,16.761814934289582,4.51035295800782,8.294889287989323,29.338366315287562,17.35804492727171,301.3017236971831
merengue,merengue_segmento_003.csv,-6.8371338028169015,9.317833660410704,-22.5917,10.1682,11.557180571432818,133.5684227607042,6.00985352112676,3.056695324758929,-2.3631,12.9,6.742531101433854,45.46172565380282,-7.950367605633803,4.651144727482994,-20.3723,-1.3695,9.21094416119782,84.8414923407042,15.584178326094792,4.583124115239361,7.808441084493114,25.91981684078805,16.24412634632011,263.8716407552112
merengue,merengue_segmento_004.csv,-5.203916901408451,9.614094419674615,-22.8886,10.1682,10.932134404002868,119.51156262718314,7.205269014084507,2.535616083848988,0.0551,12.9,7.63840627945385,58.345250490000005,-5.674794366197183,4.813651506426319,-22.946,1.8962,7.441406582356838,55.37453192394367,14.297264652719944,5.368386022931994,5.482927656827144,26.71924139679119,15.271913601154465,233.23134504112673
merengue,merengue_segmento_005.csv,-3.822625352112677,9.019454883573733,-24.0306,10.7117,9.79607222204066,95.96303097943662,7.695874647887324,2.6257248816289107,2.2122,12.5001,8.131476972235733,66.12091774999999,-4.378147887323944,4.742255180873727,-22.946,1.8962,6.454236060433708,41.65716312380283,13.20138371835904,5.428128570132091,5.482927656827144,26.71924139679119,14.273791082023006,203.7411118532395
merengue,merengue_segmento_006.csv,-3.0600166666666673,8.674573069497747,-24.0306,11.9638,9.19847378309757,84.61191993833333,8.081062499999998,2.4880622794677825,2.2122,14.0228,8.455413948200093,71.49402503541667,-4.113738888888889,4.497480452417391,-18.9453,2.3032,6.095094590392616,37.15017806583333,12.838017583424355,5.333050493598424,5.631758023921128,26.43285497955149,13.901659003139997,193.25612303958331
merengue,merengue_segmento_007.csv,-2.776900000000001,8.212556297335283,-22.6132,11.9638,8.669328379228775,75.15725454690141,8.047621126760566,2.611411634331106,2.715,15.1218,8.460713712436016,71.58367652380284,-4.334891549295775,4.662895625528892,-18.9453,2.3032,6.366622366587513,40.53388035873238,12.493503428040876,5.5845486409348695,5.87116567131264,26.43285497955149,13.684838743274858,187.2748114294366
merengue,merengue_segmento_008.csv,-2.5507704225352117,8.624649230530395,-22.6132,14.9781,8.99394263369347,80.89100409816902,8.022492957746481,2.774912892038435,2.715,15.1218,8.48884767300562,72.06053481549296,-4.856521126760563,5.570317622671169,-19.7857,3.2298,7.390144509555458,54.61423587211267,13.115781431711843,5.961715543477182,5.87116567131264,26.76901142029716,14.407143186134252,207.56577478577464
merengue,merengue_segmento_009.csv,-3.064509859154929,8.67428322333524,-21.7801,14.9781,9.19969619691286,84.63441011549295,7.4308563380281685,2.4303108780874045,2.7773,13.5584,7.818186290986126,61.12403688056339,-5.696047887323943,5.694968995002943,-19.7857,3.2298,8.054665318232185,64.87763338873239,13.359077390403357,5.671960125212676,6.099054256194152,26.76901142029716,14.513307010629546,210.63608038478873
merengue,merengue_segmento_010.csv,-3.841074647887323,8.03898355251876,-22.9125,9.6462,8.909495552965378,79.37911100830985,6.894830985915494,1.8221115378107267,2.7773,11.8824,7.131534531961783,50.858784780563376,-5.436529577464789,4.395006106755821,-17.6979,1.0822,6.990846338253361,48.87193252507043,12.472391332320976,4.852760324535742,6.365513343006988,24.850517796416238,13.383192007661837,179.10982831394367
